AB型血	AB型血 🆎️
飛盤	飛盤 🥏
飛鏢	飛鏢 🎯
飛鳥	飛鳥 🐦
飞吻	飞吻 😘
飞弹	飞弹 🚀
飞盘	飞盘 🥏
飞镖	飞镖 🎯
飞鸟	飞鸟 🐦
食盐	食盐 🧂
食鹽	食鹽 🧂
飯店	飯店 🏨
飯碗	飯碗 🥣
飯糰	飯糰 🍙
飲料	飲料 🧃
飲杯	飲杯 🥂
餅乾	餅乾 🍪
養神	養神 😑
養魚	養魚 🐠
餓了	餓了 😋
餡餅	餡餅 🥧
饭团	饭团 🍙
饭店	饭店 🏨
饭碗	饭碗 🥣
饮料	饮料 🧃
饮杯	饮杯 🥂
饼干	饼干 🍪
饿了	饿了 😋
馅饼	馅饼 🥧
香槟	香槟 🍾
香檳	香檳 🍾
香波	香波 🧴
香瓜	香瓜 🍈
香蕉	香蕉 🍌
香鍋	香鍋 🍲
香锅	香锅 🍲
馬年	馬年 🐴
馬戲	馬戲 🎪
馬桶	馬桶 🚽
馬肉	馬肉 🐎
馬蜂	馬蜂 🐝
馬頭	馬頭 🐴
馬𤠑	馬𤠑 🐒
駱駝	駱駝 🐫
騙人	騙人 🤥
騙子	騙子 🤥
騙錢	騙錢 💸
驚艷	驚艷 🤩
马头	马头 🐴
马年	马年 🐴
马戏	马戏 🎪
马桶	马桶 🚽
马肉	马肉 🐎
马蜂	马蜂 🐝
马𤠑	马𤠑 🐒
骆驼	骆驼 🐫
骗人	骗人 🤥
骗子	骗子 🤥
骗钱	骗钱 💸
骨头	骨头 🦴
骨頭	骨頭 🦴
骰子	骰子 🎲
骷髅	骷髅 💀
骷髏	骷髏 💀
高中	高中 🏫
高帽	高帽 🎩
高温	高温 🥵
高溫	高溫 🥵
高烧	高烧 🤒
高燒	高燒 🤒
高鐵	高鐵 🚄
高铁	高铁 🚄
鬱悶	鬱悶 😫
鬼怪	鬼怪 👹
鬼話	鬼話 🙄
鬼话	鬼话 🙄
鬼魂	鬼魂 👻
魂魄	魂魄 👻
魔杖	魔杖 🪄
魔棒	魔棒 🪄
魚板	魚板 🍥
魚類	魚類 🐟
魚餅	魚餅 🍥
鯊魚	鯊魚 🦈
鯨魚	鯨魚 🐋
鰌魚	鰌魚 🦑
鱷魚	鱷魚 🐊
鱼板	鱼板 🍥
鱼类	鱼类 🐟
鱼饼	鱼饼 🍥
鲨鱼	鲨鱼 🦈
鲸鱼	鲸鱼 🐋
鳄鱼	鳄鱼 🐊
鳥羽	鳥羽 🪶
鳥蛋	鳥蛋 🪺
鳥類	鳥類 🐦
鳩鴿	鳩鴿 🦤
鳳梨	鳳梨 🍍
鴨子	鴨子 🦆
鷄蛋	鷄蛋 🥚
鸚鵡	鸚鵡 🦜
鸟类	鸟类 🐦
鸟羽	鸟羽 🪶
鸟蛋	鸟蛋 🪺
鸠鸽	鸠鸽 🦤
鸡年	鸡年 🐔
鸡翅	鸡翅 🍗
鸡翼	鸡翼 🍗
鸡肉	鸡肉 🐓
鸡腿	鸡腿 🍖
鸡蛋	鸡蛋 🥚
鸭子	鸭子 🦆
鹦鹉	鹦鹉 🦜
麒麟	麒麟 🦄
麮𪌽	麮𪌽 🥖
麵包	麵包 🍞
麵條	麵條 🍜
黃圓	黃圓 🟡
黃心	黃心 💛
黃昏	黃昏 🌆
黃油	黃油 🧈
黃瓜	黃瓜 🥒
黃色	黃色 🟨
黃菱	黃菱 🔶
黃葉	黃葉 🍂
黃蜂	黃蜂 🐝
黄叶	黄叶 🍂
黄圆	黄圆 🟡
黄心	黄心 💛
黄昏	黄昏 🌆
黄油	黄油 🧈
黄瓜	黄瓜 🥒
黄色	黄色 🟨
黄菱	黄菱 🔶
黄蜂	黄蜂 🐝
黑心	黑心 🖤
黑旗	黑旗 🏴
點心	點心 🍪
點火	點火 🔥
點煙	點煙 🚬
點菸	點菸 🚬
點著	點著 🔥
鼔点	鼔点 🥁
鼔點	鼔點 🥁
鼠头	鼠头 🐭
鼠年	鼠年 🐭
鼠頭	鼠頭 🐭
龍年	龍年 🐲
龍蝦	龍蝦 🦞
龍頭	龍頭 🐲
龙头	龙头 🐲
龙年	龙年 🐲
龙虾	龙虾 🦞
不信	不信 😓 😳
不說	不說 🤐 🫢
不说	不说 🤐 🫢
中秋	中秋 🌕 🎑
书签	书签 📑 🔖
仲秋	仲秋 🌕 🎑
你猜	你猜 😏 😼
假肢	假肢 🦾 🦿
假面	假面 🎭 🥸
偷笑	偷笑 😏 🤭
冠军	冠军 🏆 🥇
冠軍	冠軍 🏆 🥇
凉鞋	凉鞋 👡 🩴
卡車	卡車 🚛 🛻
卡车	卡车 🚛 🛻
厕所	厕所 🚽 🚾
双目	双目 👀 👀
可愛	可愛 💠 🥰
可爱	可爱 💠 🥰
吓人	吓人 😱 🙀
吓死	吓死 😱 🙀
呵呵	呵呵 🙃 🥲
哇哦	哇哦 😃 😯
哭笑	哭笑 😂 😹
問號	問號 ❓ ❔
喇叭	喇叭 🎺 📣
嘻嘻	嘻嘻 😁 🤭
噁心	噁心 🤢 🤮
嚇人	嚇人 😱 🙀
嚇死	嚇死 😱 🙀
城堡	城堡 🏯 🏰
外匯	外匯 💱 💹
外汇	外汇 💱 💹
好吧	好吧 😉 😪
好囧	好囧 😅 😰
好笑	好笑 😆 🤭
妖怪	妖怪 👹 👺
宝石	宝石 💎 💠
寶石	寶石 💎 💠
小声	小声 🔉 🤫
小聲	小聲 🔉 🤫
小雞	小雞 🐤 🐥
小鸡	小鸡 🐤 🐥
广播	广播 📢 📻
廁所	廁所 🚽 🚾
廣播	廣播 📢 📻
开心	开心 😁 🥳
弯月	弯月 🌛 🌜
彎月	彎月 🌛 🌜
循环	循环 🔃 🔄
循環	循環 🔃 🔄
快进	快进 ⏩ 🔜
快递	快递 📦 🚚
快進	快進 ⏩ 🔜
快遞	快遞 📦 🚚
思考	思考 😕 🤔
恐怖	恐怖 😱 🙀
恐龍	恐龍 🦕 🦖
恐龙	恐龙 🦕 🦖
恶心	恶心 🤢 🤮
惊喜	惊喜 😃 🤩
惊悚	惊悚 😱 🙀
想吃	想吃 😍 😻
想喫	想喫 😍 😻
戏院	戏院 🎥 🎬
我操	我操 😧 🤬
戲院	戲院 🎥 🎬
才怪	才怪 😒 🙄
找死	找死 😠 😾
拥抱	拥抱 🤗 🫂
接吻	接吻 💏 😘
擁抱	擁抱 🤗 🫂
无聊	无聊 😞 😴
晚安	晚安 💤 😴
書籤	書籤 📑 🔖
月亮	月亮 🌕 🌝
月色	月色 🌃 🌙
月芽	月芽 🌛 🌜
松饼	松饼 🍪 🥞
果汁	果汁 🍹 🧃
核突	核突 🤢 🤮
汙染	汙染 🏭 😷
污染	污染 🏭 😷
涼鞋	涼鞋 👡 🩴
游戏	游戏 🎮 👾
滑板	滑板 🎨 🛹
漂亮	漂亮 😍 😻
炎热	炎热 🥵 🫠
炎熱	炎熱 🥵 🫠
烤餅	烤餅 🥞 🫓
烤饼	烤饼 🥞 🫓
無聊	無聊 😞 😴
爆炸	爆炸 💥 🤯
玫瑰	玫瑰 🌹 🥀
球拍	球拍 🏓 🏸
球杆	球杆 🏑 🏒
球桿	球桿 🏑 🏒
病了	病了 🚑 🤒
盖饭	盖饭 🍛 🥘
看书	看书 📖 🤓
看書	看書 📖 🤓
睡了	睡了 💤 😴
短袖	短袖 👕 👚
短裤	短裤 🩲 🩳
短褲	短褲 🩲 🩳
礼物	礼物 🎁 💝
禮物	禮物 🎁 💝
笑了	笑了 😄 😸
笑哭	笑哭 😂 😹
笑脸	笑脸 😁 😊
笑臉	笑臉 😁 😊
算了	算了 😪 🙁
美女	美女 😍 😻
脚印	脚印 🐾 👣
腳印	腳印 🐾 👣
苹果	苹果 🍎 🍏
茅房	茅房 🚾 🛖
菱形	菱形 🔶 🔷
落叶	落叶 🍂 🍃
落葉	落葉 🍂 🍃
蓋飯	蓋飯 🍛 🥘
蘋果	蘋果 🍎 🍏
行李	行李 🛄 🧳
詭計	詭計 🌚 😏
讀書	讀書 📖 🤓
诡计	诡计 🌚 😏
读书	读书 📖 🤓
起子	起子 🔧 🪛
足印	足印 🐾 👣
足跡	足跡 🐾 👣
足迹	足迹 🐾 👣
路口	路口 🚥 🚦
車站	車站 🚉 🚏
车站	车站 🚉 🚏
遊戲	遊戲 🎮 👾
錢幣	錢幣 💲 🪙
錢袋	錢袋 👛 💰
钱币	钱币 💲 🪙
钱袋	钱袋 👛 💰
閉嘴	閉嘴 🤐 🫢
開心	開心 😁 🥳
闭嘴	闭嘴 🤐 🫢
问号	问号 ❓ ❔
闹钟	闹钟 ⏰ 🔔
闹铃	闹铃 ⏰ 🔔
雙目	雙目 👀 👀
雞頭	雞頭 🐔 🐤
雪糕	雪糕 🍨 🧁
靓瞎	靓瞎 😍 😻
靚瞎	靚瞎 😍 😻
飛碟	飛碟 🛸 🥏
飞碟	飞碟 🛸 🥏
驚喜	驚喜 😃 🤩
驚悚	驚悚 😱 🙀
鬆餅	鬆餅 🍪 🥞
鬧鈴	鬧鈴 ⏰ 🔔
鬧鐘	鬧鐘 ⏰ 🔔
鬼火	鬼火 👿 😡
鬼脸	鬼脸 🤪 🥴
鬼臉	鬼臉 🤪 🥴
鳥巢	鳥巢 🪹 🪺
鸟巢	鸟巢 🪹 🪺
鸡头	鸡头 🐔 🐤
亲嘴	亲嘴 💏 😙 😽
卖萌	卖萌 💠 😊 🥰
哈哈	哈哈 😄 😸 🤭
嘿嘿	嘿嘿 😈 😏 🤭
地球	地球 🌍 🌎 🌏
天吶	天吶 😱 🙀 🤯
天呐	天呐 😱 🙀 🤯
天啊	天啊 😱 🙀 🤯
好吃	好吃 😋 😍 😻
好喫	好喫 😋 😍 😻
小样	小样 😏 😠 😾
小樣	小樣 😏 😠 😾
美味	美味 😋 😍 😻
薄餅	薄餅 🍕 🥞 🫓
薄饼	薄饼 🍕 🥞 🫓
親嘴	親嘴 💏 😙 😽
討厭	討厭 😣 😩 🥴
讨厌	讨厌 😣 😩 🥴
賣萌	賣萌 💠 😊 🥰
难过	难过 😔 😩 😭
難過	難過 😔 😩 😭
亲亲	亲亲 💋 😘 😚 😽
可怕	可怕 😨 😱 🙀 🤯
吻你	吻你 😘 😙 😽 😽
生气	生气 👿 💢 😤 😾
生氣	生氣 👿 💢 😤 😾
親親	親親 💋 😘 😚 😽
真好	真好 😀 😺 🙆🏻
不干	不干 😝 🙅🏻
不幹	不幹 😝 🙅🏻
不行	不行 😝 🙅🏻
倒退	倒退 ⏪ ◀️
叹号	叹号 ❕ ❗️
唔知	唔知 😲 🤷🏻
嘆號	嘆號 ❕ ❗️
噘嘴	噘嘴 😗 🙎🏻
愛心	愛心 💗 🫶🏻
杂技	杂技 🎪 🤹🏻
杂耍	杂耍 🎪 👲🏻
欢庆	欢庆 🎊 🙌🏻
歡慶	歡慶 🎊 🙌🏻
沙漠	沙漠 🌵 🏜️
爱心	爱心 💗 🫶🏻
王冠	王冠 👑 🫅🏻
睡覺	睡覺 😴 🛌🏻
睡觉	睡觉 😴 🛌🏻
糾結	糾結 😂 🤦🏻
纠结	纠结 😂 🤦🏻
謝謝	謝謝 😎 🙏🏻
谢谢	谢谢 😎 🙏🏻
雜技	雜技 🎪 🤹🏻
雜耍	雜耍 🎪 👲🏻
騎車	騎車 🚲 🚴🏻
骑车	骑车 🚲 🚴🏻
庆祝	庆祝 🍻 🙌🏻 🥳
慶祝	慶祝 🍻 🙌🏻 🥳
不懂	不懂 😵 😵‍💫
唔明	唔明 😵 😵‍💫
太难	太难 😵 😵‍💫
太難	太難 😵 😵‍💫
好难	好难 😵 😵‍💫
好難	好難 😵 😵‍💫
学士	学士 🎓 🧑🏻‍🎓
学生	学生 🤓 🧑🏻‍🎓
學士	學士 🎓 🧑🏻‍🎓
學生	學生 🤓 🧑🏻‍🎓
明星	明星 🌟 🧑🏻‍🎤
火警	火警 🚨 🧑🏻‍🚒
画家	画家 🎨 🧑🏻‍🎨
畫家	畫家 🎨 🧑🏻‍🎨
一定	一定 🙆🏻
一撮	一撮 🤌🏻
万岁	万岁 🙌🏻
上头	上头 👆🏻
上边	上边 👆🏻
上邊	上邊 👆🏻
上面	上面 👆🏻
上頭	上頭 👆🏻
下头	下头 👇🏻
下跪	下跪 🧎🏻
下边	下边 👇🏻
下邊	下邊 👇🏻
下雨	下雨 ☔️
下雪	下雪 🌨️
下面	下面 👇🏻
下頭	下頭 👇🏻
不丹	不丹 🇧🇹
不爽	不爽 ☹️
不管	不管 🤷🏻
东加	东加 🇹🇴
两仪	两仪 ☯️
中国	中国 🇨🇳
中國	中國 🇨🇳
中指	中指 🖕🏻
中非	中非 🇨🇫
丹麥	丹麥 🇩🇰
丹麦	丹麦 🇩🇰
举重	举重 🏋🏻
乍得	乍得 🇹🇩
也門	也門 🇾🇪
也门	也门 🇾🇪
五指	五指 🖐🏻
享受	享受 ☺️
人魚	人魚 🧜🏻
人鱼	人鱼 🧜🏻
仙人	仙人 🧚🏻
伊朗	伊朗 🇮🇷
住宿	住宿 🛌🏻
住店	住店 🛌🏻
体操	体操 🤸🏻
侦探	侦探 🕵🏻
俄国	俄国 🇷🇺
俄國	俄國 🇷🇺
信件	信件 ✉️
信封	信封 ✉️
倒彩	倒彩 🖕🏻
停止	停止 ⏹️
停車	停車 🅿️
停车	停车 🅿️
偵探	偵探 🕵🏻
儿童	儿童 🧒🏻
兄妹	兄妹 👫🏻
兄弟	兄弟 👬🏻
免費	免費 🆓️
免费	免费 🆓️
兒童	兒童 🧒🏻
兩儀	兩儀 ☯️
公主	公主 👸🏻
公园	公园 ⛲️
公園	公園 ⛲️
关岛	关岛 🇬🇺
再見	再見 👋🏻
再见	再见 👋🏻
冥想	冥想 🧘🏻
冰刀	冰刀 ⛸️
冰岛	冰岛 🇮🇸
冰島	冰島 🇮🇸
冰鞋	冰鞋 ⛸️
冲浪	冲浪 🏄🏻
击掌	击掌 🖐🏻
划船	划船 🚣🏻
划艇	划艇 🚣🏻
刚果	刚果 🇨🇬
剃头	剃头 💇🏻
剃頭	剃頭 💇🏻
剛果	剛果 🇨🇬
剪刀	剪刀 ✂️
剪发	剪发 💇🏻
剪子	剪子 ✂️
剪髮	剪髮 💇🏻
力量	力量 💪🏻
加冕	加冕 🫅🏻
加彭	加彭 🇬🇦
加納	加納 🇬🇭
加纳	加纳 🇬🇭
加蓬	加蓬 🇬🇦
劳作	劳作 ⚒️
劳动	劳动 ⚒️
勋章	勋章 🎖️
勞作	勞作 ⚒️
勞動	勞動 ⚒️
勳章	勳章 🎖️
匕手	匕手 🗡️
化学	化学 ⚗️
化學	化學 ⚗️
北韓	北韓 🇰🇵
北韩	北韩 🇰🇵
医学	医学 ⚕️
医疗	医疗 ⚕️
单板	单板 🏂🏻
卖艺	卖艺 🤹🏻
南极	南极 🇦🇶
南極	南極 🇦🇶
南非	南非 🇿🇦
南韓	南韓 🇰🇷
南韩	南韩 🇰🇷
卡达	卡达 🇶🇦
卡達	卡達 🇶🇦
卫士	卫士 💂🏻
卫星	卫星 🛰️
卫门	卫门 💂🏻
印尼	印尼 🇮🇩
印度	印度 🇮🇳
压缩	压缩 🗜️
原子	原子 ⚛️
参禅	参禅 🧘🏻
參禪	參禪 🧘🏻
友誼	友誼 🤝🏻
友谊	友谊 🤝🏻
双板	双板 ⛷️
发誓	发誓 ✊🏻
古巴	古巴 🇨🇺
台湾	台湾 🇹🇼
台灣	台灣 🇹🇼
右上	右上 ↗️
右下	右下 ↘️
右拳	右拳 🤛🏻
右面	右面 🫱🏻
叶门	叶门 🇾🇪
合什	合什 🙏🏻
合作	合作 🤝🏻
同志	同志 👬🏻
向上	向上 👆🏻
向下	向下 👇🏻
向右	向右 👉🏻
向左	向左 👈🏻
吕宋	吕宋 🇵🇭
含蓄	含蓄 ☺️
吹气	吹气 🌬️
吹氣	吹氣 🌬️
呂宋	呂宋 🇵🇭
呵护	呵护 🤲🏻
呵護	呵護 🤲🏻
咖啡	咖啡 ☕️
咨询	咨询 ℹ️
响指	响指 🤞🏻
哥俩	哥俩 👬🏻
哥倆	哥倆 👬🏻
哥妹	哥妹 👫🏻
哥弟	哥弟 👬🏻
哺乳	哺乳 🤱🏻
商标	商标 ™️
商標	商標 ™️
商販	商販 👲🏻
商贩	商贩 👲🏻
喊話	喊話 🗣️
喊话	喊话 🗣️
喧哗	喧哗 🗣️
喧嘩	喧嘩 🗣️
單板	單板 🏂🏻
喷泉	喷泉 ⛲️
噴泉	噴泉 ⛲️
回收	回收 ♻️
圆圈	圆圈 ⭕️
圈圈	圈圈 ⭕️
圓圈	圓圈 ⭕️
圣婴	圣婴 👼🏻
在建	在建 🏗️
地图	地图 🗺️
地圖	地圖 🗺️
坏蛋	坏蛋 🦹🏻
垃圾	垃圾 👎🏻
埃及	埃及 🇪🇬
城市	城市 🏙️
基佬	基佬 👬🏻
基林	基林 🇨🇨
墨鏡	墨鏡 🕶️
墨镜	墨镜 🕶️
壓縮	壓縮 🗜️
壞蛋	壞蛋 🦹🏻
外蒙	外蒙 🇲🇳
多云	多云 ⛅️
多哥	多哥 🇹🇬
多雲	多雲 ⛅️
大人	大人 🧑🏻
大喊	大喊 🗣️
大恩	大恩 🙏🏻
大漠	大漠 🏜️
大腿	大腿 🦵🏻
大英	大英 🇬🇧
大陆	大陆 🇨🇳
大陸	大陸 🇨🇳
大雨	大雨 🌧️
大雪	大雪 ☃️
大馬	大馬 🇲🇾
大马	大马 🇲🇾
天使	天使 👼🏻
天平	天平 ⚖️
天晴	天晴 ☀️
天阴	天阴 🌥️
天陰	天陰 🌥️
太子	太子 🤴🏻
太极	太极 ☯️
太極	太極 ☯️
夫妇	夫妇 👫🏻
夫妻	夫妻 👫🏻
夫婦	夫婦 👫🏻
头大	头大 🤦🏻
头巾	头巾 👳🏾
头疼	头疼 🤦🏻
奔跑	奔跑 🏃🏻
女人	女人 👩🏻
女仔	女仔 👧🏻
女子	女子 👩🏻
女孩	女孩 👧🏻
女王	女王 👸🏻
女童	女童 👧🏻
奶奶	奶奶 👵🏻
好嘢	好嘢 👍🏻
好讚	好讚 👍🏻
好赞	好赞 👍🏻
妃嫔	妃嫔 👸🏻
妃嬪	妃嬪 👸🏻
妃子	妃子 👸🏻
妈咪	妈咪 👩🏻
妈妈	妈妈 👩🏻
妊娠	妊娠 🫄🏻
姊妹	姊妹 👭🏻
姊弟	姊弟 👫🏻
姐妹	姐妹 👭🏻
姐弟	姐弟 👫🏻
委屈	委屈 🙎🏻
姥姥	姥姥 👵🏻
姥爷	姥爷 👴🏻
姥爺	姥爺 👴🏻
娃娃	娃娃 👶🏻
婴儿	婴儿 👶🏻
婴孩	婴孩 👶🏻
媽咪	媽咪 👩🏻
媽媽	媽媽 👩🏻
嫔妃	嫔妃 👸🏻
嬪妃	嬪妃 👸🏻
嬰兒	嬰兒 👶🏻
嬰孩	嬰孩 👶🏻
孕妇	孕妇 🤰🏻
孕婦	孕婦 🤰🏻
孙女	孙女 👧🏻
孙子	孙子 👦🏻
孩子	孩子 🧒🏻
孫女	孫女 👧🏻
孫子	孫子 👦🏻
孲𤘅	孲𤘅 👶🏻
守卫	守卫 💂🏻
守衛	守衛 💂🏻
宝贝	宝贝 👶🏻
客輪	客輪 🛳️
客轮	客轮 🛳️
宣誓	宣誓 ✊🏻
宽度	宽度 ↔️
寬度	寬度 ↔️
寮国	寮国 🇱🇦
寮國	寮國 🇱🇦
寶貝	寶貝 👶🏻
对上	对上 🆚️
对决	对决 🆚️
对比	对比 🆚️
对白	对白 🗯️
封路	封路 ⛔️
對上	對上 🆚️
對比	對比 🆚️
對決	對決 🆚️
對白	對白 🗯️
小区	小区 🏘️
小區	小區 🏘️
小孩	小孩 🧒🏻
小岛	小岛 🏝️
小島	小島 🏝️
小童	小童 🧒🏻
小販	小販 👲🏻
小贩	小贩 👲🏻
少許	少許 🤌🏻
少许	少许 🤌🏻
尼日	尼日 🇳🇪
山岭	山岭 ⛰️
山峰	山峰 ⛰️
山嶺	山嶺 ⛰️
山水	山水 🏞️
山脈	山脈 ⛰️
山脉	山脉 ⛰️
崇拜	崇拜 🙇🏻
工地	工地 🏗️
左上	左上 ↖️
左下	左下 ↙️
左拳	左拳 🤜🏻
左面	左面 🫲🏻
差人	差人 👮🏻
巴林	巴林 🇧🇭
巴西	巴西 🇧🇷
帆船	帆船 ⛵️
希腊	希腊 🇬🇷
希臘	希臘 🇬🇷
帐篷	帐篷 ⛺️
帕劳	帕劳 🇵🇼
帕勞	帕勞 🇵🇼
帛琉	帛琉 🇵🇼
帳篷	帳篷 ⛺️
幼儿	幼儿 👶🏻
幼兒	幼兒 👶🏻
幼童	幼童 👶🏻
底片	底片 🎞️
度假	度假 🏖️
座机	座机 ☎️
座機	座機 ☎️
开曼	开曼 🇰🇾
张开	张开 👐🏻
張開	張開 👐🏻
弹出	弹出 ⏏️
彈出	彈出 ⏏️
彗星	彗星 ☄️
影片	影片 🎞️
德国	德国 🇩🇪
德國	德國 🇩🇪
忍者	忍者 🥷🏻
快艇	快艇 🛥️
怀孕	怀孕 🫄🏻
恋爱	恋爱 💑🏻
悬浮	悬浮 🕴🏻
愛情	愛情 💑🏻
感情	感情 💑🏻
感謝	感謝 🙏🏻
感谢	感谢 🙏🏻
慢走	慢走 🚶🏻
憋屈	憋屈 🙎🏻
懷孕	懷孕 🫄🏻
懸浮	懸浮 🕴🏻
戀愛	戀愛 💑🏻
戏法	戏法 🤹🏻
成人	成人 🧑🏻
戲法	戲法 🤹🏻
手指	手指 🫵🏻
手掌	手掌 ✋🏻
手柄	手柄 🕹️
手球	手球 🤾🏻
手背	手背 🤚🏻
手臂	手臂 💪🏻
手表	手表 ⌚️
手錶	手錶 ⌚️
打伞	打伞 ☔️
打你	打你 👊🏻
打傘	打傘 ☔️
打坐	打坐 🧘🏻
打球	打球 ⛹🏻
打雷	打雷 🌩️
把戏	把戏 🤹🏻
把戲	把戲 🤹🏻
投票	投票 🗳️
拇指	拇指 👍🏻
拉拉	拉拉 👭🏻
拍手	拍手 👏🏻
招呼	招呼 🙋🏻
招手	招手 🙋🏻
拜拜	拜拜 👋🏻
拳头	拳头 👊🏻
拳頭	拳頭 👊🏻
挂历	挂历 🗓️
按摩	按摩 💆🏻
挥手	挥手 👋🏻
挪威	挪威 🇳🇴
捏著	捏著 🤏🏻
捷克	捷克 🇨🇿
掌心	掌心 🤲🏻
掛曆	掛曆 🗓️
探長	探長 🕵🏻
探长	探长 🕵🏻
接納	接納 👐🏻
接纳	接纳 👐🏻
掸指	掸指 🤞🏻
握手	握手 🤝🏻
揮手	揮手 👋🏻
搅基	搅基 👬🏻
搖桿	搖桿 🕹️
搖滾	搖滾 🤘🏻
摇杆	摇杆 🕹️
摇滚	摇滚 🤘🏻
摊手	摊手 🤷🏻
摔跤	摔跤 🤼🏻
摩托	摩托 🏍️
撐傘	撐傘 ☔️
撑伞	撑伞 ☔️
撣指	撣指 🤞🏻
撤回	撤回 ↩️
撤銷	撤銷 ↩️
撤销	撤销 ↩️
擊掌	擊掌 🖐🏻
攀岩	攀岩 🧗🏻
攀巖	攀巖 🧗🏻
攀登	攀登 🧗🏻
攤手	攤手 🤷🏻
攪基	攪基 👬🏻
放射	放射 ☢️
救命	救命 🆘️
教堂	教堂 ⛪️
斐济	斐济 🇫🇯
斐濟	斐濟 🇫🇯
新款	新款 🆕️
方片	方片 ♦️
旅舍	旅舍 🛌🏻
旅舘	旅舘 🛌🏻
旅馆	旅馆 🛌🏻
旋鈕	旋鈕 🎛️
旋钮	旋钮 🎛️
无助	无助 🙍🏻
无望	无望 🙍🏻
无穷	无穷 ♾️
日本	日本 🇯🇵
旧屋	旧屋 🏚️
时计	时计 ⏲️
星号	星号 ✴️
星国	星国 🇸🇬
星國	星國 🇸🇬
星型	星型 ✴️
星星	星星 ⭐️
星號	星號 ✴️
時計	時計 ⏲️
晴朗	晴朗 ☀️
晴空	晴空 ☀️
智利	智利 🇨🇱
暂停	暂停 ⏸️
暫停	暫停 ⏸️
曼岛	曼岛 🇮🇲
曼島	曼島 🇮🇲
有云	有云 ☁️
有电	有电 ⚡️
有雨	有雨 🌧️
有雲	有雲 ☁️
有電	有電 ⚡️
朝鮮	朝鮮 🇰🇵
朝鲜	朝鲜 🇰🇵
杠铃	杠铃 🏋🏻
条子	条子 👮🏻
東加	東加 🇹🇴
松鼠	松鼠 🐿️
板札	板札 🙌🏻
果岭	果岭 ⛳️
果嶺	果嶺 ⛳️
柔道	柔道 🤼🏻
查德	查德 🇹🇩
核子	核子 ⚛️
核弹	核弹 ☢️
核彈	核彈 ☢️
核电	核电 ⚛️
核能	核能 ⚛️
核電	核電 ⚛️
根西	根西 🇬🇬
桑拿	桑拿 🧖🏻
档案	档案 🗃️
條子	條子 👮🏻
棒球	棒球 ⚾️
棺材	棺材 ⚰️
槓鈴	槓鈴 🏋🏻
檔案	檔案 🗃️
欢迎	欢迎 🙋🏻
欧盟	欧盟 🇪🇺
歐盟	歐盟 🇪🇺
歡迎	歡迎 🙋🏻
母亲	母亲 👩🏻
母親	母親 👩🏻
比心	比心 🫰🏻
民国	民国 🇹🇼
民國	民國 🇹🇼
民工	民工 👷🏻
民警	民警 👮🏻
氢弹	氢弹 ☢️
氫彈	氫彈 ☢️
水球	水球 🤽🏻
水笔	水笔 🖋️
水筆	水筆 🖋️
求救	求救 🆘️
汤加	汤加 🇹🇴
汶莱	汶莱 🇧🇳
汶萊	汶萊 🇧🇳
汽艇	汽艇 🛥️
沒門	沒門 🙅🏻
沙发	沙发 🛋️
沙滩	沙滩 🏖️
沙漏	沙漏 ⌛️
沙灘	沙灘 🏖️
沙發	沙發 🛋️
没门	没门 🙅🏻
沮丧	沮丧 🙍🏻
沮喪	沮喪 🙍🏻
油桶	油桶 🛢️
油站	油站 ⛽️
油筒	油筒 🛢️
泊車	泊車 🅿️
泊车	泊车 🅿️
法国	法国 🇫🇷
法國	法國 🇫🇷
法师	法师 🧙🏻
法師	法師 🧙🏻
法輪	法輪 ☸️
法轮	法轮 ☸️
波兰	波兰 🇵🇱
波奈	波奈 🇧🇶
波斯	波斯 🇮🇷
波蘭	波蘭 🇵🇱
波黑	波黑 🇧🇦
注目	注目 👁️
注視	注視 👁️
注视	注视 👁️
泰国	泰国 🇹🇭
泰國	泰國 🇹🇭
泽西	泽西 🇯🇪
洋服	洋服 🤵🏻
海地	海地 🇭🇹
海岛	海岛 🏝️
海島	海島 🏝️
海滩	海滩 🏖️
海灘	海灘 🏖️
海边	海边 🏖️
海邊	海邊 🏖️
清空	清空 🆑️
清除	清除 🆑️
渡口	渡口 ⛴️
渡輪	渡輪 ⛴️
渡轮	渡轮 ⛴️
温泉	温泉 ♨️
游泳	游泳 🏊🏻
湯加	湯加 🇹🇴
溜冰	溜冰 ⛸️
溫泉	溫泉 ♨️
滑冰	滑冰 ⛸️
滑杆	滑杆 🎚️
滑桿	滑桿 🎚️
滑鼠	滑鼠 🖱️
演講	演講 🗣️
演讲	演讲 🗣️
漫步	漫步 🚶🏻
澤西	澤西 🇯🇪
澳門	澳門 🇲🇴
澳门	澳门 🇲🇴
烧瓶	烧瓶 ⚗️
無助	無助 🙍🏻
無望	無望 🙍🏻
無窮	無窮 ♾️
燒瓶	燒瓶 ⚗️
爬泳	爬泳 🏊🏻
爱情	爱情 💑🏻
父亲	父亲 👨🏻
父親	父親 👨🏻
爷爷	爷爷 👴🏻
爸爸	爸爸 👨🏻
爺爺	爺爺 👴🏻
王储	王储 🤴🏻
王儲	王儲 🤴🏻
王后	王后 👸🏻
王妃	王妃 👸🏻
王子	王子 🤴🏻
王爷	王爷 🤴🏻
王爺	王爺 🤴🏻
王男	王男 👸🏻
环保	环保 ♻️
球员	球员 ⛹🏻
球員	球員 ⛹🏻
